timestamp,site,parameter,regime,trust,value,stage_m,status,imputation_method,n_raw,source_file,datum_assumed
2025-07-29 01:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 02:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 02:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 02:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 02:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 03:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 03:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 03:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 03:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 04:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 04:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 04:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 04:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 05:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 05:15:00,Kamand,depth,K_depth_A,ok,12.49878665590956,0.861213344090439,observed,,1,depth_measurements_K.csv,True
2025-07-29 05:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 05:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 06:00:00,Kamand,depth,K_depth_A,ok,12.448606323787152,0.9113936762128478,observed,,1,depth_measurements_K.csv,True
2025-07-29 06:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 06:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 06:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 07:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 07:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 07:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 07:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 08:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 08:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 08:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 08:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 09:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 09:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 09:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 09:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 10:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 10:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 10:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 10:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 11:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 11:15:00,Kamand,depth,K_depth_A,ok,12.577722204379956,0.7822777956200433,observed,,1,depth_measurements_K.csv,True
2025-07-29 11:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 11:45:00,Kamand,depth,K_depth_A,ok,12.612634462790089,0.7473655372099106,observed,,1,depth_measurements_K.csv,True
2025-07-29 12:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 12:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 12:30:00,Kamand,depth,K_depth_A,ok,12.630974975179706,0.7290250248202934,observed,,1,depth_measurements_K.csv,True
2025-07-29 12:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 13:00:00,Kamand,depth,K_depth_A,ok,12.606904592148789,0.7530954078512107,observed,,1,depth_measurements_K.csv,True
2025-07-29 13:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 13:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 13:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 14:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 14:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 14:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 14:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 15:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 15:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 15:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 15:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 16:00:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 16:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 16:30:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 16:45:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 17:00:00,Kamand,depth,K_depth_A,ok,12.634047114386023,0.7259528856139763,observed,,1,depth_measurements_K.csv,True
2025-07-29 17:15:00,Kamand,depth,K_depth_A,ok,,,missing,,0,,True
2025-07-29 17:30:00,Kamand,depth,K_depth_A,ok,12.685273405261446,0.6747265947385532,observed,,1,depth_measurements_K.csv,True
2025-07-29 17:45:00,Kamand,depth,K_depth_A,ok,12.684341707100401,0.6756582928995982,interpolated,linear,0,,True
2025-07-29 18:00:00,Kamand,depth,K_depth_A,ok,12.683410008939354,0.676589991060645,interpolated,linear,0,,True
2025-07-29 18:15:00,Kamand,depth,K_depth_A,ok,12.68247831077831,0.67752168922169,interpolated,linear,0,,True
2025-07-29 18:30:00,Kamand,depth,K_depth_A,ok,12.681546612617264,0.678453387382735,observed,,1,depth_measurements_K.csv,True
