timestamp,method,reason,site,parameter,regime
2025-07-30 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-30 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-30 19:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-30 20:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-31 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-31 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-31 19:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-07-31 20:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-01 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-01 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-02 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-02 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-16 19:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-16 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-16 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 10:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 10:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 17:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 18:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 18:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 19:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-17 19:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 11:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 11:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 12:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 12:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 12:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 13:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 13:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 14:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-08-18 14:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
